model,pair,ground_truth_mm,ground_truth_area_cm2,status,detections,fusion_success,strong_alignment,fallback_applied,localization_source,confidence,depth_mm,relative_error,area_cm2,area_source,area_relative_error,residual_coverage,detection_residual_iou,total_ms,fps,error
model1,1,41.62116241455078,44.003143898518026,success,1,True,False,True,stereo_residual_fallback,0.7005782127380371,40.0396728515625,0.03799724638241703,44.65834110848111,stereo_residual,0.014889781772732527,0.9632075471698113,0.014461039466881953,56.94848299754085,17.559730257313124,
model1,2,41.62116241455078,44.003143898518026,success,1,True,False,True,stereo_residual_fallback,0.6818076372146606,42.533382415771484,0.02191721586569121,43.50584050945459,stereo_residual,0.011301542230944654,1.0,0.00997313486794946,58.7229099983233,17.02912883623364,
model1,3,41.62116241455078,44.003143898518026,success,3,True,False,True,stereo_residual_fallback,0.45745423436164856,40.44865798950195,0.028170871667892675,43.69596525018675,stereo_residual,0.006980834120391541,0.887281795511222,0.014581847689773034,63.04426600399893,15.861870767701054,
model1,4,41.62116241455078,44.003143898518026,success,1,True,False,True,stereo_residual_fallback,0.6241456270217896,39.642333984375,0.0475438050111734,44.223427381021345,stereo_residual,0.005006085088177929,1.0,0.018070905331938027,57.32260100194253,17.445126050126586,
model1,5,41.62116241455078,44.003143898518026,success,2,True,True,False,yolo,0.4585973024368286,40.47761154174805,0.027475226698688942,45.97948227584935,yolo_mask,0.0449135721276925,0.8223404255319149,0.4767190872648782,68.21761299943319,14.658970843912538,
model1,6,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8339955806732178,41.66702651977539,0.0011019419584633048,49.58379308947646,yolo_mask,0.12682387430836228,0.9814543679843827,0.6531341344592401,55.37883400393184,18.05744050026407,
model1,7,41.62116241455078,44.003143898518026,success,1,True,True,False,yolo,0.8415398597717285,41.542266845703125,0.0018955638014587098,42.27963872934642,yolo_mask,0.03916777340151936,0.8487752928647497,0.5602811950790861,57.76355000125477,17.311955376327763,
model1,8,41.62116241455078,44.003143898518026,area_error,1,True,True,False,yolo,0.8427748680114746,40.49867630004883,0.026969119779065357,55.03740307213415,yolo_mask,0.25076070016869273,0.999536822603057,0.6280558789289872,53.83117699966533,18.576595492352265,
model2,9,40.301639556884766,60.05502237604377,area_error,1,True,True,False,yolo,0.8578172922134399,42.603519439697266,0.057116283806852415,50.588002847384324,yolo_mask,0.1576390975159454,0.9968253968253968,0.675026872088857,56.43834899819922,17.71844885171795,
model2,10,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8585069179534912,40.36774826049805,0.0016403477461498918,51.38247424541101,yolo_mask,0.14441003911926403,1.0,0.6302851524090463,58.486212001298554,17.098046971785372,
model2,11,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8611598014831543,42.762840270996094,0.0610694934789788,52.17534198186079,yolo_mask,0.13120768392763466,1.0,0.6030984876429362,57.756061003601644,17.314200148407636,
model2,12,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8207011222839355,42.960472106933594,0.06597330975321616,51.436482945088926,yolo_mask,0.14351071883694475,1.0,0.6223426427678199,65.18566099839518,15.340797112184216,
model2,13,40.301639556884766,60.05502237604377,success,1,True,True,False,yolo,0.8355751633644104,43.4305305480957,0.07763681640779367,54.060593006769786,yolo_mask,0.0998156212770839,1.0,0.5551601423487544,54.93592700076988,18.203024042644913,
